iter	Passed	Remaining
813	1664	380
814	1667	378
815	1669	376
816	1671	374
817	1673	372
818	1675	370
819	1677	368
820	1679	366
821	1681	364
822	1684	362
823	1686	360
824	1688	358
825	1690	356
826	1692	354
827	1694	352
828	1696	350
829	1699	348
830	1701	345
831	1703	343
832	1705	341
833	1707	339
834	1709	337
835	1711	335
836	1713	333
837	1716	331
838	1717	329
839	1720	327
840	1722	325
841	1724	323
842	1726	321
843	1729	319
844	1731	317
845	1733	315
846	1735	313
847	1737	311
848	1739	309
849	1742	307
850	1744	305
851	1746	303
852	1748	301
853	1750	299
854	1752	297
855	1754	295
856	1756	293
857	1758	291
858	1760	289
859	1763	287
860	1765	284
861	1767	282
862	1769	280
863	1771	278
864	1773	276
865	1775	274
866	1777	272
867	1780	270
868	1782	268
869	1785	266
870	1787	264
871	1789	262
872	1791	260
873	1794	258
874	1796	256
875	1798	254
876	1800	252
877	1802	250
878	1804	248
879	1806	246
880	1808	244
881	1810	242
882	1812	240
883	1814	238
884	1816	236
885	1818	234
886	1821	232
887	1823	230
888	1826	228
889	1828	225
890	1830	223
891	1832	221
892	1833	219
893	1835	217
894	1837	215
895	1840	213
896	1842	211
897	1844	209
898	1845	207
899	1847	205
900	1849	203
901	1851	201
902	1853	199
903	1855	197
904	1857	194
905	1859	192
906	1861	190
907	1863	188
908	1865	186
909	1868	184
910	1871	182
911	1875	180
912	1877	178
913	1880	176
914	1882	174
915	1885	172
916	1888	170
917	1890	168
918	1892	166
919	1895	164
920	1898	162
921	1902	160
922	1906	159
923	1909	157
924	1912	155
925	1915	153
926	1921	151
927	1925	149
928	1932	147
929	1936	145
930	1939	143
931	1942	141
932	1945	139
933	1948	137
934	1951	135
935	1953	133
936	1955	131
937	1957	129
938	1959	127
939	1962	125
940	1964	123
941	1966	121
942	1968	118
943	1971	116
944	1973	114
945	1975	112
946	1977	110
947	1981	108
948	1983	106
949	1985	104
950	1987	102
951	1990	100
952	1992	98
953	1994	96
954	1997	94
955	2000	92
956	2001	89
957	2003	87
958	2005	85
959	2008	83
960	2010	81
961	2012	79
962	2015	77
963	2017	75
964	2018	73
965	2021	71
966	2023	69
967	2025	66
968	2027	64
969	2030	62
970	2032	60
971	2034	58
972	2037	56
973	2039	54
974	2042	52
975	2045	50
976	2047	48
977	2049	46
978	2051	43
979	2052	41
980	2054	39
981	2056	37
982	2059	35
983	2061	33
984	2063	31
985	2065	29
986	2067	27
987	2069	25
988	2071	23
989	2073	20
990	2075	18
991	2077	16
992	2079	14
993	2081	12
994	2082	10
995	2084	8
996	2086	6
997	2088	4
998	2091	2
999	2093	0
